transaction_id,timestamp,customer_id,merchant_id,amount,device_id,location,failed_attempts,device_changed,location_changed,is_fraud
TXN_0000740,2026-06-01 00:00:00,CUST_01104,MERCHANT_022,2417.77,DEV_01104,28,0,False,False,0
TXN_0001355,2026-06-01 00:02:00,CUST_00887,MERCHANT_036,2468.08,DEV_00887,17,0,False,True,0
TXN_0000893,2026-06-01 00:02:00,CUST_00218,MERCHANT_040,1219.08,DEV_79530,32,0,True,False,0
TXN_0001331,2026-06-01 00:03:00,CUST_00706,MERCHANT_051,4696.26,DEV_00706,35,0,False,False,0
TXN_0000178,2026-06-01 00:04:00,CUST_00167,MERCHANT_004,1645.5,DEV_00167,14,0,False,False,0
TXN_0000937,2026-06-01 00:06:00,CUST_00757,MERCHANT_013,1393.9,DEV_00757,16,0,False,False,0
TXN_0001263,2026-06-01 00:09:00,CUST_01080,MERCHANT_031,1765.97,DEV_01080,15,0,False,False,0
TXN_0000747,2026-06-01 00:14:00,CUST_00212,MERCHANT_032,2003.85,DEV_00212,28,0,False,False,0
TXN_0000754,2026-06-01 00:14:00,CUST_00370,MERCHANT_046,892.23,DEV_00370,9,0,False,True,0
TXN_0000698,2026-06-01 00:18:00,CUST_01489,MERCHANT_024,392.85,DEV_70753,27,0,True,False,0
TXN_0000513,2026-06-01 00:18:00,CUST_01574,MERCHANT_007,667.12,DEV_01574,2,0,False,False,0
TXN_0000270,2026-06-01 00:23:00,CUST_01106,MERCHANT_042,994.02,DEV_01106,1,2,False,True,0
TXN_0000671,2026-06-01 00:28:00,CUST_01395,MERCHANT_040,1731.16,DEV_01395,16,0,False,False,0
TXN_0001095,2026-06-01 00:34:00,CUST_00607,MERCHANT_025,965.35,DEV_00607,36,0,False,False,0
TXN_0000999,2026-06-01 00:41:00,CUST_00272,MERCHANT_003,437.54,DEV_00272,24,2,False,True,0
TXN_0000569,2026-06-01 00:47:00,CUST_00687,MERCHANT_021,657.19,DEV_00687,28,0,False,True,0
TXN_0001174,2026-06-01 00:49:00,CUST_00320,MERCHANT_000,593.83,DEV_00320,23,0,False,False,0
TXN_0001199,2026-06-01 00:49:00,CUST_00235,MERCHANT_015,1210.32,DEV_00235,10,0,False,False,0
TXN_0001138,2026-06-01 00:52:00,CUST_01636,MERCHANT_037,2033.0,DEV_01636,1,0,False,False,0
TXN_0000124,2026-06-01 00:52:00,CUST_01056,MERCHANT_045,1544.23,DEV_01056,16,0,False,False,0
TXN_0001081,2026-06-01 00:53:00,CUST_00150,MERCHANT_056,1579.12,DEV_00150,3,1,False,False,0
TXN_0001092,2026-06-01 00:58:00,CUST_01485,MERCHANT_035,330.13,DEV_01485,17,0,False,False,0
TXN_0001180,2026-06-01 01:03:00,CUST_01035,MERCHANT_002,2022.4,DEV_01035,39,0,False,False,0
TXN_0000715,2026-06-01 01:06:00,CUST_00510,MERCHANT_059,1989.91,DEV_00510,8,0,False,False,0
TXN_0000737,2026-06-01 01:07:00,CUST_01654,MERCHANT_016,1207.51,DEV_01654,37,0,False,False,0
TXN_0001046,2026-06-01 01:29:00,CUST_00178,MERCHANT_025,952.45,DEV_00178,13,0,False,False,0
TXN_0000398,2026-06-01 01:36:00,CUST_01345,MERCHANT_054,6525.13,RINGDEV_0,33,4,False,True,1
TXN_0000994,2026-06-01 01:36:00,CUST_01580,MERCHANT_022,903.74,DEV_01580,23,0,False,False,0
TXN_0000522,2026-06-01 01:46:00,CUST_01511,MERCHANT_052,2764.64,DEV_01511,13,0,False,False,0
